date,title,amount
2026-07-20,Dcmatos,"43,95"
2026-07-20,Apple.Com/Bill,"10,90"
2026-07-20,Ifd*Silene Lopes de Al,"49,89"
2026-07-19,Paes e Doces do Vale,"18,81"
2026-07-18,Ifd*O Temperinho Comer,"52,98"
2026-07-18,Emporio Bento,"171,20"
2026-07-18,Debora Caroline Garci,"80,00"
2026-07-17,Apple.Com/Bill,"66,90"
2026-07-17,Zp *Dom Diego Barbeari,"109,90"
2026-07-15,Jim.Com* 51265016 Raf,"10,44"
2026-07-15,Netflix.Com,"59,90"
2026-07-15,Rota,"16,90"
2026-07-14,Bluefit Satelite,"135,99"
2026-07-12,IOF de compra internacional,"3,71"
2026-07-12,Mp *Mercadodabele,"122,70"
2026-07-12,Yex Food And Fun,"94,76"
2026-07-12,557 - Sp Sao Jose dos,"79,98"
2026-07-12,Pro,"106,26"
2026-07-12,Yex Food And Fun,"94,75"
2026-07-11,Conta Vivo,"35,00"
2026-07-10,Amazon Ad Free For Pri,"10,00"
2026-07-09,Ultrafarma Popular,"167,62"
2026-07-07,Ifd*Zamp S.A.,"56,96"
2026-07-07,Ifd*Ocaneco Bar Ltda.,"78,97"
2026-07-06,Dm*Helphbomaxcom,"22,45"
2026-07-05,Ebn*Playstation,"76,90"
2026-07-05,Mundo Eletronico,"60,00"
2026-07-05,Ebn *Playstation - Parcela 1/2,"65,00"
2026-07-04,Ifd*O Temperinho Comer,"54,98"
2026-07-03,Apple.Com/Bill,"59,90"
2026-07-01,IOF de compra internacional,"2,35"
2026-07-01,Macpaw,"67,24"
2026-07-01,Amazon BR VI - NuPay - Parcela 1/5,"96,63"
2026-06-30,Paes e Doces do Vale,"24,61"
2026-06-30,Pgz*Kingmanut,"70,00"
2026-06-29,Stb*Larcentersjcltda,"139,92"
2026-06-28,IOF de compra internacional,"0,90"
2026-06-28,Estacao do Lanches,"28,00"
2026-06-28,Winpark Estacionamento,"20,00"
2026-06-28,Discord* Nitromonthly,"25,97"
2026-06-28,Ifd*Ifood Club,"5,95"
2026-06-28,Seu Jota S Bar e Resta,"203,00"
2026-06-27,A L Gino,"70,00"
2026-06-27,Cipax Medicina Diagno,"105,00"
2026-06-26,Pagamento recebido,"- 3.598,45"
2026-06-25,Coop S J Campos,"66,73"
2026-06-24,IOF de compra internacional,"3,94"
2026-06-24,Flash Games - Parcela 11/12,"214,66"
2026-06-24,Otica Digital - Parcela 10/10,"208,00"
2026-06-24,Mamae Presentes - Parcela 2/4,"113,69"
2026-06-24,Ebn*Playstation - Parcela 4/4,"90,56"
2026-06-24,Ppro *Microsoft,"51,00"
2026-06-24,Ebn*Playstation - Parcela 3/4,"33,63"
2026-06-24,Amazonmktplc*Oficialwe - Parcela 4/10,"53,69"
2026-06-24,Cursor Ai Powered Ide,"112,79"
2026-06-24,Amazonprimebr,"19,90"
2026-06-24,Jim.Com* Endocrinoval - Parcela 3/3,"143,33"
2026-06-24,Mamae Presentes - Parcela 3/3,"63,12"
2026-06-24,Drogaria Sao Paulo - Parcela 3/3,"100,00"
